orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,2015_rbtc_colle,2015__transfused_blood,2015_donated_blood_units,2015_blood_other_sources,2015_no_of_units_requested_from_other_transfusing_hospi,2015__blood_units_received_from_moh_706blood_transfusio,2015_moh_706_blood_units_transfused,2016_rbtc_colle,2016__transfused_blood,2016_donated_blood_units,2016_blood_other_sources,2016_no_of_units_requested_from_other_transfusing_hospi,2016__blood_units_received_from_moh_706blood_transfusio,2016_moh_706_blood_units_transfused,2017_rbtc_colle,2017__transfused_blood,2017_donated_blood_units,2017_blood_other_sources,2017_no_of_units_requested_from_other_transfusing_hospi,2017__blood_units_received_from_moh_706blood_transfusio,2017_moh_706_blood_units_transfused,2018_rbtc_colle,2018__transfused_blood,2018_donated_blood_units,2018_blood_other_sources,2018_no_of_units_requested_from_other_transfusing_hospi,2018__blood_units_received_from_moh_706blood_transfusio,2018_moh_706_blood_units_transfused,2019_rbtc_colle,2019__transfused_blood,2019_donated_blood_units,2019_blood_other_sources,2019_no_of_units_requested_from_other_transfusing_hospi,2019__blood_units_received_from_moh_706blood_transfusio,2019_moh_706_blood_units_transfused
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,Trinity Medical Care Health Centre,QSHKV0HEKlF,Trinity Medical Care Health Centre,13238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,Tsc VCT,rrOcMljIJrg,Tsc VCT,,Dispensary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,University of Nairobi Dispensary,kZ8MryqHonL,University of Nairobi Dispensary,13242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,Uzima VCT Centre,fU0cksIU1gI,Uzima VCT Centre,17956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,Walgreens Adlife Plaza,BkK8CzkDAtC,Walgreens Adlife Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti North Sub County,Kilimani Ward,Walgreens Pharmacy Adlife Plaza,Fk2OTeSLzs2,Walgreens Pharmacy Adlife Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti North Sub County,Kabiro Ward,Wema Nursing Home,pOuXOVhFusz,Wema Nursing Home,13256.0,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti North Sub County,Kileleshwa Ward,Westlands Health Centre,P3T1tyScl0F,Westlands Health Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Uthiru/Ruthimitu Ward,Abandoned Child Care,SmORD2BlOtY,Abandoned Child Care,12864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Alter Care Limited,xDnnC1al4u6,Alter Care Limited,25444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Mutu-ini Ward,Amka Health Project,BvWSGZqHVMe,Amka Health Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Mutu-ini Ward,Arise-K,HAd5KvbiXN3,Arise-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Uthiru/Ruthimitu Ward,Chandaria Health Centre,CckiDj0RzXx,Chandaria Health Centre,12893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Closed_Duplicate_Medicross Ltd (Kawangware),MliZhd64X06,Closed_Duplicate_Medicross Ltd (Kawangware),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Uthiru/Ruthimitu Ward,Dadas VCT,gkXRF2xfnOh,Dadas VCT,22074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,Dagoretti Community Dispensary,t7P5gvLjPtG,Dagoretti Community Dispensary,20189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,Dagoretti Community VCT,vA6lQUw5Z0x,Dagoretti Community VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Eagle Health Clinic,FpYNpPZwGHO,Eagle Health Clinic,19542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Fremo Medical Centre,rvY6Idb4l9H,Fremo Medical Centre,18612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Uthiru/Ruthimitu Ward,Gachui Medical Centre,bUrvl2BcNcx,Gachui Medical Centre,21288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Waithaka Ward,Gichuru Medical Clinic,SsqBPOys1pU,Gichuru Medical Clinic,12954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Glory Health Clinic,Vx2cKs1FhBg,Glory Health Clinic,18613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Mutu-ini Ward,Good Shepherd Dispensary,rmnpXn7cV2P,Good Shepherd Dispensary,12960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Mutu-ini Ward,Hope Community VCT,BgTKQSYJhxi,Hope Community VCT,12970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Waithaka Ward,Imani Medical Centre,BR27cAkYiIh,Imani Medical Centre,19402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Jonalifa Clinic,dmftIiZk1oh,Jonalifa Clinic,16802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Kivuli Dispensary,ekQxVaIMErv,Kivuli Dispensary,13036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Mutu-ini Ward,Lea Toto Dagoretti,t7vstgWfIDJ,Lea Toto Dagoretti,13046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Lea Toto Kawangware,Ww1GPGA2Mnh,Lea Toto Kawangware,19914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,Mary Mission,BiDkjdXE6xS,Mary Mission,17514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Medecins Du Monde/France (Kangemi Kang'ora),maDPBCxrR28,Medecins Du Monde/France (Kangemi Kang'ora),20451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Medicross Ltd (Kawangware),wARGv24OguJ,Medicross Ltd (Kawangware),20537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Mutu-ini Ward,Mutuini Sub-District Hospital,UtipAc6rtV6,Mutuini Sub-District Hospital,13105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Kenya,Nairobi County,Dagoretti South Sub County,Mutu-ini Ward,Nile Medical Care,aqjv7SbfKav,Nile Medical Care,19479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Orthodox Dispensary,grMnXpkx5MQ,Orthodox Dispensary,13135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Providence Whole Care,W6jSebK033h,Providence Whole Care,19521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,R-Care Health Service,w75BBqONEPA,R-Care Health Service,18609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,Rgc Jipe Moyo Dispensary,iMCd6yZQlPX,Rgc Jipe Moyo Dispensary,13162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Mutu-ini Ward,Samawati medical Centre,B8ZbD9Ty6U2,Samawati medical Centre,22073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Sapta Trust Kawangware Dice,xI9aqMrzh0a,Sapta Trust Kawangware Dice,24417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Joseph's Dispensary (Dagoretti),AHM06z0QKsS,St Joseph's Dispensary (Dagoretti),13210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Ngando Ward,St Lukes (Kona) Health Centre,s4ah4herP8P,St Lukes (Kona) Health Centre,13213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Riruta Ward,Swop Kawangware,iUoikQq3xgk,Swop Kawangware,19719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Waithaka Ward,Tumaini Africa,o9IJr6neQBb,Tumaini Africa,20190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Uthiru/Ruthimitu Ward,Uthiru Muthua Dispensary,MwFhJW2w7yH,Uthiru Muthua Dispensary,18628.0,disp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Dagoretti South Sub County,Waithaka Ward,Waithaka Health Centre,HK7E1p1vij4,Waithaka Health Centre,13249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Afya Medical Services,vSclqzoUNy8,Afya Medical Services,19453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,Aga Khan University Hosp Mother & Child Clinic,YKS2COepM3L,Aga Khan University Hosp Mother & Child Clinic,22772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,Angaza VCT,TFLMO3MTOsx,Angaza VCT,18272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,Arrow Web Maternity and Nursing Home,gJ6EAr5MFz9,Arrow Web Maternity and Nursing Home,12872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Aski Medical Clinic,m2Sc53M2fCg,Aski Medical Clinic,12873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,Chasmile Medical Clinic,Ykmtw0omEIG,Chasmile Medical Clinic,24523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,Cidi Kayole Clinic,zhJ663HYnIc,Cidi Kayole Clinic,12896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,CONI Health Centre,UYTG0f8yLqc,CONI Health Centre,12958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,Dabliu Clinic,bvpeSMRtSm9,Dabliu Clinic,12908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,Diwopa Health Centre,j9ewGdCa9TX,Diwopa Health Centre,12917.0,Near Naivash Komarock on Spine Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,EDARP Komarock Health Centre,r13EdOxFc92,EDARP Komarock Health Centre,17719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole South Ward,Equata Medical Center,Oaxk0qZiyaR,Equata Medical Center,25658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole South Ward,Equity Afia Kayole,UdLjRu06EFZ,Equity Afia Kayole,22784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole South Ward,Fairview Medical Clinic,Dom2cnK42ML,Fairview Medical Clinic,22977.0,FROM MASIMBA TO SOWETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,Gertrude Komarock Clinic,MzCL8JfJrqp,Gertrude Komarock Clinic,17725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,Kayole Hospital,xwhhhUodw40,Kayole Hospital,13014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Kayole I Health Centre,wWnSMqLNWOk,Kayole I Health Centre,13015.0,Off Kangundo Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Kenya,Nairobi County,Embakasi Central Sub County,Kayole South Ward,Kayole II Sub-District Hospital,xvrQsmtAQsS,Kayole II Sub-District Hospital,13016.0,Near Former Do Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole South Ward,Kayole Outpatient Clinics,CWIk1PNvyUe,Kayole Outpatient Clinics,24516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,Kings Cross Medical Clinic,tleldxlcpio,Kings Cross Medical Clinic,19436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,KOKI Medical Clinic,ev8wkfifBPg,KOKI Medical Clinic,24524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,Komarock Medical Clinic,hCdEprRbTNa,Komarock Medical Clinic,13038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,Komarock Modern Medical Care,UaSLLKNersa,Komarock Modern Medical Care,17717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Live Well Health Clinic,oe9ga94XLz2,Live Well Health Clinic,17687.0,Near Kayole I Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,Mama Lucy Kibaki Hospital (Embakasi),EmMu340uBVZ,Mama Lucy Kibaki Hospital (Embakasi),17411.0,Off Kangundo Road,,,,,,,,,,,,,1510.0,,,,,,,873.0,894.0,,,,,,1369.0,1574.0,,,,,,1107.0,1367.0
Kenya,Nairobi County,Embakasi Central Sub County,Kayole South Ward,Maria Maternity and Nursing Home,tKrbbrbKFeR,Maria Maternity and Nursing Home,13063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Mofa Afya Medical Centre,Nsd57he9Fnd,Mofa Afya Medical Centre,22011.0,kayole 2 kona mbaya stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,Mwera Medical Clinic,vbxTLwVtUcy,Mwera Medical Clinic,19442.0,Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,PCEA Kayole Parish Health Centre,b6sbROBLG4M,PCEA Kayole Parish Health Centre,19435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Penda Medical Center(Kayole),pIcZywB1sTj,Penda Medical Center(Kayole),24423.0,near kona market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,Phadam Hospital Nasra,GXjd4TP2jdN,Phadam Hospital Nasra,24014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Pine Medical Clinic,bJwSDmcEAP3,Pine Medical Clinic,13142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,Primed Medical Services Komarock,Pwc73x3mwsS,Primed Medical Services Komarock,19451.0,Near Naivash Super Market Kayole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,Provide International Clinic (Kayole),hTwFlHkIm0d,Provide International Clinic (Kayole),13151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Rama Medical Clinic,ooFZtMevk34,Rama Medical Clinic,21272.0,"off D.O/Nyando Rd at car park,behind Gorofa  saba building kayole 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,SAPTA KAYOLE,lOuSf3QZaCQ,SAPTA KAYOLE,24251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole Central Ward,SAPTA KAYOLE(Closed),eyC5CfHa6FP,SAPTA KAYOLE(Closed),23635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Matopeni/Spring Valley Ward,St Annisia Medical Center,NKv8e2XC9st,St Annisia Medical Center,24790.0,along kangundo road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole South Ward,St Begson Clinic,yIdsftMdUGb,St Begson Clinic,13198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,St Jude's Medical Centre,ByG8D57AT0z,St Jude's Medical Centre,13211.0,Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Komarock Ward,St Maurice Medical Services,fKcdls2wzxr,St Maurice Medical Services,19438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,St Patrick Health Care Centre,L3W78DWaVfN,St Patrick Health Care Centre,13222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Suba Medical Clinic,yrG1toZ39rc,Suba Medical Clinic,20574.0,Operational Level 2 Medical Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Susamed Medical Clinic,tjRgJv8hWTF,Susamed Medical Clinic,17686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole South Ward,Thawabu Medical Clinic,ARb5DZybiP6,Thawabu Medical Clinic,25657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Kayole North Ward,Uwezo Healthcare HC,CsD951AcXpk,Uwezo Healthcare HC,22010.0,near kayole 1 county market along spine Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi Central Sub County,Matopeni/Spring Valley Ward,Well Living Medical Centre,km63b6bDDSw,Well Living Medical Centre,22769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,AAR Donholm,Rd6lIZAK54g,AAR Donholm,23439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,AAR Health Care,RrOzfK1AgMn,AAR Health Care,20405.0,Opp. Embakasi Police Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Abra Health Services,DXhq1hKKOyt,Abra Health Services,19441.0,Near  Greenspan Moll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Aga Khan Medical Centre (Greenspan),B0U9qBH7vGD,Aga Khan Medical Centre (Greenspan),19457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,Agakhan University Clinic (Embakasi),oqvgqMBwdvU,Agakhan University Clinic (Embakasi),18894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Mihango Ward,Aptc Health Centre,eGSDTRaBYvN,Aptc Health Centre,12871.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Arrow Web Clinic,ag2noKmVjqw,Arrow Web Clinic,22239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,Baby Blessing Medical Services,CMBOBwPvzqb,Baby Blessing Medical Services,24278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,Blissgvs Health Care(Pipeline),LN4tQYiay1q,Blissgvs Health Care(Pipeline),21050.0,Medical Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,Bristal Park Hospital,ypIztvPg8bq,Bristal Park Hospital,18271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,22.0
Kenya,Nairobi County,Embakasi East Sub County,Utawala Ward,Bristol Park Hospital Utawala,l65XDsgPPFM,Bristol Park Hospital Utawala,23399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Lower Savannah Ward,City Jacaranda SDA Church Clinic,tJCpuJHSmwk,City Jacaranda SDA Church Clinic,23438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Communal Oriented Service International Centre,ltJvKksRk8d,Communal Oriented Service International Centre,19455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,Connections Medical Clinic,vxmiuRcjJKY,Connections Medical Clinic,19450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Donholm (EDARP) Clinic,hVTJp5M0cGz,Donholm (EDARP) Clinic,12920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Lower Savannah Ward,EDARP Soweto Health Centre,RVQtRwy75Wt,EDARP Soweto Health Centre,13191.0,Off Masimba Stage Towards Soweto Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,Embakasi Health Centre,fqT44AXXEda,Embakasi Health Centre,12935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Lower Savannah Ward,Emmanuel Medical Centre,NaD1FLehrEC,Emmanuel Medical Centre,18893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Mihango Ward,Equity Afia Utawala Medical Centre,O9vEfGxGKLz,Equity Afia Utawala Medical Centre,25433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Euraka Medical Centre,rFq2yUidPbp,Euraka Medical Centre,22351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Exselle Health Care,reWMcVVoQTt,Exselle Health Care,23510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,Garrison Health Centre,y9iW4VkPbGw,Garrison Health Centre,12947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Genessaret Clinic,TYpMgYxKQZ0,Genessaret Clinic,12949.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Upper Savannah Ward,Getrude Donholm Clinic,oCIzqlJOqC5,Getrude Donholm Clinic,12952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Nairobi County,Embakasi East Sub County,Embakasi Ward,Getrude Embakasi Clinic,AT1TM0jgFh4,Getrude Embakasi Clinic,18395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
